id,energy_consumption,energy_effective,energy_waste
0,3582070.0,1949020.0,1633050.0
1,3582070.0,1949020.0,1633050.0
2,3582070.0,1949020.0,1633050.0
3,3582070.0,1949020.0,1633050.0
4,3582070.0,1949020.0,1633050.0
5,3582070.0,1941420.0,1640650.0
6,3582070.0,1737930.0,1844140.0
7,3582070.0,1451030.0,2131040.0
8,3582070.0,1175530.0,2406540.0
9,3582070.0,927770.0,2654300.0
10,3582070.0,910100.0,2671970.0
11,3491208.0,897180.0,2594028.0
12,3491208.0,880840.0,2610368.0
13,3491208.0,885400.0,2605808.0
14,3498629.0,843980.0,2654649.0
15,3313285.0,591660.0,2721625.0
16,2901510.0,428260.0,2473250.0
17,2116151.0,297350.0,1818801.0
18,2113979.0,260870.0,1853109.0
19,1861846.0,228380.0,1633466.0
20,1861846.0,207860.0,1653986.0
21,1819492.0,194750.0,1624742.0
22,2357967.0,253650.0,2104317.0
23,1480841.0,157510.0,1323331.0
24,1376766.0,127490.0,1249276.0
25,1343643.0,110960.0,1232683.0
26,542537.0,24130.0,518407.0
27,542537.0,24130.0,518407.0
28,542537.0,24130.0,518407.0
29,542537.0,24130.0,518407.0
30,542537.0,24130.0,518407.0
31,542537.0,24130.0,518407.0
