dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,60.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,0.0,94.0,8 9 10 11 12 13 14 15 16,-1.0,
base,active,,0.0,249.0,17,-1.0,
base,active,,0.0,300.0,18 19 20 21 22 23 24 25 26 27 28 29 30 31,-1.0,
base,active,60.0,60.0,166.0,0 1 2 3 4 5 6 7,1.0,False
base,active,94.0,94.0,250.0,8 9 10 11 12 13 14 15 16,2.0,False
base,active,,166.0,249.0,0 1 2 3 4 5 6 7,-1.0,
base,active,249.0,249.0,350.0,0 1 2 3 4 5 6 7 17,3.0,False
base,active,,250.0,269.0,8 9 10 11 12 13 14,-1.0,
base,active,,250.0,391.0,15,-1.0,
base,active,,250.0,550.0,16,-1.0,
base,active,269.0,269.0,391.0,8 9 10 11 12 13 14,4.0,False
base,switching_off,,300.0,420.0,18 19 20 21 22 23 24 25 26 27 28 29 30 31,-2.0,
base,active,313.0,350.0,450.0,0 1 2 3 4 5 6 7,5.0,False
base,active,,350.0,575.0,17,-1.0,
base,active,321.0,391.0,459.0,8 9 10 11 12 13 14 15,6.0,False
base,sleeping,,420.0,634.0,18,-4.0,
base,sleeping,,420.0,883.0,19 20 21 22 23 24 25 26 27 28 29 30 31,-4.0,
base,active,350.0,450.0,589.0,0 1 2 3 4 5 6 7,7.0,False
base,active,,459.0,484.0,8 9 10 11 12 13 14 15,-1.0,
base,active,484.0,484.0,575.0,8 9 10 11 12 13 14 15,8.0,False
base,switching_off,,550.0,670.0,16,-2.0,
base,active,547.0,575.0,683.0,8 9 10 11 12 13 14 15 17,9.0,False
base,active,563.0,589.0,634.0,0 1 2 3 4 5 6,10.0,False
base,active,,589.0,754.0,7,-1.0,
base,active,,634.0,754.0,0 1 2 3 4 5 6,-1.0,
base,switching_on,,634.0,754.0,18,-3.0,
base,sleeping,,670.0,883.0,16,-4.0,
base,active,656.0,683.0,769.0,8 9 10 11 12 13 14 15,12.0,False
base,active,,683.0,769.0,17,-1.0,
base,active,602.0,754.0,883.0,0 1 2 3 4 5 6 7 18,11.0,False
base,active,748.0,769.0,862.0,8 9 10 11 12 13 14 15 17,13.0,False
base,active,780.0,862.0,976.0,8 9 10 11 12 13 14,14.0,False
base,active,,862.0,1003.0,15 17,-1.0,
base,active,800.0,883.0,949.0,0 1 2 3 4 5 6 7,15.0,False
base,active,,883.0,1003.0,18,-1.0,
base,switching_on,,883.0,1003.0,16 19 20 21 22 23 24 25 26 27 28 29 30 31,-3.0,
base,active,,949.0,976.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,976.0,1062.0,11 12 13 14,-1.0,
base,active,894.0,976.0,1084.0,0 1 2 3 4 5 6 7 8 9 10,18.0,False
base,active,801.0,1003.0,1062.0,15 16 17 18 19 20 21 22,16.0,False
base,active,844.0,1003.0,1112.0,23 24 25 26 27 28 29 30 31,17.0,False
base,active,1044.0,1062.0,1136.0,11 12 13 14 15 16 17,19.0,False
base,active,,1062.0,1258.0,18 19 20 21 22,-1.0,
base,active,,1084.0,1154.0,0 1 2 3 4 5 6 7 8,-1.0,
base,active,,1084.0,1220.0,9 10,-1.0,
base,active,,1112.0,1258.0,23 24 25,-1.0,
base,active,,1112.0,1412.0,26 27 28 29 30 31,-1.0,
base,active,,1136.0,1220.0,11 12 13 14 15 16,-1.0,
base,active,,1136.0,1258.0,17,-1.0,
base,active,1154.0,1154.0,1280.0,0 1 2 3 4 5 6 7 8,20.0,False
base,active,1220.0,1220.0,1307.0,9 10 11 12 13 14 15 16,21.0,False
base,active,1258.0,1258.0,1313.0,17 18 19 20 21 22 23 24 25,22.0,False
base,active,,1280.0,1283.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,1280.0,1580.0,8,-1.0,
base,active,1283.0,1283.0,1345.0,0 1 2 3 4 5 6 7,23.0,False
base,active,,1307.0,1598.0,9,-1.0,
base,active,,1307.0,1607.0,10 11 12 13 14 15 16,-1.0,
base,active,,1313.0,1613.0,17 18 19 20 21 22 23 24 25,-1.0,
base,active,,1345.0,1598.0,0 1 2 3 4 5 6 7,-1.0,
base,switching_off,,1412.0,1532.0,26 27 28 29 30 31,-2.0,
base,sleeping,,1532.0,6238.0,26 27 28,-4.0,
base,sleeping,,1532.0,6878.0,29 30 31,-4.0,
base,switching_off,,1580.0,1700.0,8,-2.0,
base,active,1598.0,1598.0,1704.0,0 1 2 3 4 5 6 7 9,24.0,False
base,switching_off,,1607.0,1727.0,10 11 12 13 14 15 16,-2.0,
base,switching_off,,1613.0,1733.0,17 18 19 20 21 22 23 24 25,-2.0,
base,sleeping,,1700.0,1935.0,8,-4.0,
base,active,1647.0,1704.0,1765.0,0 1 2 3 4 5 6 7 9,25.0,False
base,sleeping,,1727.0,1935.0,10 11 12 13 14 15 16,-4.0,
base,sleeping,,1733.0,1935.0,17,-4.0,
base,sleeping,,1733.0,2173.0,18 19 20 21 22,-4.0,
base,sleeping,,1733.0,2174.0,23,-4.0,
base,sleeping,,1733.0,6238.0,24 25,-4.0,
base,active,,1765.0,1778.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,1765.0,1935.0,9,-1.0,
base,active,1778.0,1778.0,1935.0,0 1 2 3 4 5 6 7,26.0,False
base,active,1827.0,1935.0,2020.0,0 1 2 3 4 5 6 7 9,27.0,False
base,switching_on,,1935.0,2055.0,8 10 11 12 13 14 15 16 17,-3.0,
base,active,1979.0,2020.0,2079.0,0 1 2 3 4 5,29.0,False
base,active,,2020.0,2079.0,6,-1.0,
base,active,,2020.0,2293.0,7 9,-1.0,
base,active,1900.0,2055.0,2185.0,8 10 11 12 13 14 15 16 17,28.0,False
base,active,2066.0,2079.0,2174.0,0 1 2 3 4 5 6,30.0,False
base,switching_on,,2173.0,2293.0,18 19 20 21 22,-3.0,
base,active,,2174.0,2294.0,0 1 2 3 4 5 6,-1.0,
base,switching_on,,2174.0,2294.0,23,-3.0,
base,active,2173.0,2185.0,2256.0,8 10 11 12 13 14 15,33.0,False
base,active,,2185.0,2256.0,16,-1.0,
base,active,,2185.0,2485.0,17,-1.0,
base,active,2185.0,2256.0,2345.0,8 10 11 12 13 14 15 16,34.0,False
base,active,2100.0,2293.0,2418.0,7 9 18 19 20 21 22,31.0,False
base,active,2152.0,2294.0,2404.0,0 1 2 3 4 5 6 23,32.0,False
base,active,2311.0,2345.0,2389.0,8 10 11 12 13 14 15 16,35.0,False
base,active,,2389.0,2521.0,8,-1.0,
base,active,,2389.0,2689.0,10 11 12 13 14 15 16,-1.0,
base,active,,2404.0,2422.0,0 1 2 3 4 5 6,-1.0,
base,active,,2404.0,2704.0,23,-1.0,
base,active,,2418.0,2521.0,7,-1.0,
base,active,,2418.0,2718.0,9 18 19 20 21 22,-1.0,
base,active,2422.0,2422.0,2478.0,0 1 2 3 4 5 6,36.0,False
base,active,,2478.0,2521.0,0 1 2 3 4 5 6,-1.0,
base,switching_off,,2485.0,2605.0,17,-2.0,
base,active,2521.0,2521.0,2614.0,0 1 2 3 4 5 6 7 8,37.0,False
base,sleeping,,2605.0,5709.0,17,-4.0,
base,active,,2614.0,2623.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,2614.0,2914.0,8,-1.0,
base,active,2623.0,2623.0,2700.0,0 1 2 3 4 5 6 7,38.0,False
base,switching_off,,2689.0,2809.0,10 11 12 13 14 15 16,-2.0,
base,active,,2700.0,2869.0,0 1 2 3 4 5 6 7,-1.0,
base,switching_off,,2704.0,2824.0,23,-2.0,
base,switching_off,,2718.0,2838.0,9 18 19 20 21 22,-2.0,
base,sleeping,,2809.0,3517.0,10,-4.0,
base,sleeping,,2809.0,3705.0,11 12 13 14 15,-4.0,
base,sleeping,,2809.0,3867.0,16,-4.0,
base,sleeping,,2824.0,6149.0,23,-4.0,
base,sleeping,,2838.0,3517.0,9,-4.0,
base,sleeping,,2838.0,5709.0,18 19 20 21,-4.0,
base,sleeping,,2838.0,6149.0,22,-4.0,
base,active,2869.0,2869.0,2945.0,0 1 2 3 4 5 6 7,39.0,False
base,switching_off,,2914.0,3034.0,8,-2.0,
base,active,,2945.0,3026.0,0 1 2 3 4 5 6,-1.0,
base,active,,2945.0,3176.0,7,-1.0,
base,active,3026.0,3026.0,3080.0,0 1 2 3 4 5 6,40.0,False
base,sleeping,,3034.0,3517.0,8,-4.0,
base,active,,3080.0,3176.0,0 1 2 3 4 5 6,-1.0,
base,active,3176.0,3176.0,3217.0,0 1 2 3 4 5 6 7,41.0,False
base,active,,3217.0,3637.0,0 1 2 3 4 5 6 7,-1.0,
base,switching_on,,3517.0,3637.0,8 9 10,-3.0,
base,active,3305.0,3637.0,3705.0,0 1 2 3 4 5 6 7 8 9 10,42.0,False
base,active,3676.0,3705.0,3824.0,0 1 2 3 4 5 6,43.0,False
base,active,,3705.0,3825.0,7 8 9 10,-1.0,
base,switching_on,,3705.0,3825.0,11 12 13 14 15,-3.0,
base,active,,3824.0,3987.0,0 1 2 3 4 5 6,-1.0,
base,active,3676.0,3825.0,3901.0,7 8 9 10 11 12 13 14 15,44.0,False
base,switching_on,,3867.0,3987.0,16,-3.0,
base,active,,3901.0,3906.0,7 8 9 10 11 12 13 14,-1.0,
base,active,,3901.0,4201.0,15,-1.0,
base,active,3906.0,3906.0,3998.0,7 8 9 10 11 12 13 14,46.0,False
