job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
1,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",60.0,60,166.0,166.0,False,166.0
2,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",94.0,94,250.0,250.0,False,250.0
3,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 17]",249.0,249,350.0,350.0,False,350.0
4,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",269.0,269,391.0,391.0,False,391.0
5,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",350.0,313,450.0,450.0,False,450.0
6,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",391.0,321,459.0,459.0,False,459.0
8,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",484.0,484,575.0,575.0,False,575.0
7,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",450.0,350,589.0,589.0,False,589.0
10,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",589.0,563,634.0,634.0,False,634.0
9,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 17]",575.0,547,683.0,683.0,False,683.0
12,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",683.0,656,769.0,769.0,False,769.0
13,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 17]",769.0,748,862.0,862.0,False,862.0
11,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 18]",754.0,602,883.0,883.0,False,883.0
15,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",883.0,800,949.0,949.0,False,949.0
14,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",862.0,780,976.0,976.0,False,976.0
16,execution_finished,"[15, 17, 18, 16, 19, 20, 21, 22]",1003.0,801,1062.0,1062.0,False,1062.0
18,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",976.0,894,1084.0,1084.0,False,1084.0
17,execution_finished,"[23, 24, 25, 26, 27, 28, 29, 30, 31]",1003.0,844,1112.0,1112.0,False,1112.0
19,execution_finished,"[11, 12, 13, 14, 15, 16, 17]",1062.0,1044,1136.0,1136.0,False,1136.0
20,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1154.0,1154,1280.0,1280.0,False,1280.0
21,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16]",1220.0,1220,1307.0,1307.0,False,1307.0
22,execution_finished,"[17, 18, 19, 20, 21, 22, 23, 24, 25]",1258.0,1258,1313.0,1313.0,False,1313.0
23,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",1283.0,1283,1345.0,1345.0,False,1345.0
24,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",1598.0,1598,1704.0,1704.0,False,1704.0
25,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",1704.0,1647,1765.0,1765.0,False,1765.0
26,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",1778.0,1778,1935.0,1935.0,False,1935.0
27,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",1935.0,1827,2020.0,2020.0,False,2020.0
29,execution_finished,"[0, 1, 2, 3, 4, 5]",2020.0,1979,2079.0,2079.0,False,2079.0
30,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",2079.0,2066,2174.0,2174.0,False,2174.0
28,execution_finished,"[8, 10, 11, 12, 13, 14, 15, 16, 17]",2055.0,1900,2185.0,2185.0,False,2185.0
33,execution_finished,"[8, 10, 11, 12, 13, 14, 15]",2185.0,2173,2256.0,2256.0,False,2256.0
34,execution_finished,"[8, 10, 11, 12, 13, 14, 15, 16]",2256.0,2185,2345.0,2345.0,False,2345.0
35,execution_finished,"[8, 10, 11, 12, 13, 14, 15, 16]",2345.0,2311,2389.0,2389.0,False,2389.0
32,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 23]",2294.0,2152,2404.0,2404.0,False,2404.0
31,execution_finished,"[7, 9, 18, 19, 20, 21, 22]",2293.0,2100,2418.0,2418.0,False,2418.0
36,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",2422.0,2422,2478.0,2478.0,False,2478.0
37,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2521.0,2521,2614.0,2614.0,False,2614.0
38,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",2623.0,2623,2700.0,2700.0,False,2700.0
39,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",2869.0,2869,2945.0,2945.0,False,2945.0
40,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",3026.0,3026,3080.0,3080.0,False,3080.0
41,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",3176.0,3176,3217.0,3217.0,False,3217.0
42,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",3637.0,3305,3705.0,3705.0,False,3705.0
43,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",3705.0,3676,3824.0,3824.0,False,3824.0
44,execution_finished,"[7, 8, 9, 10, 11, 12, 13, 14, 15]",3825.0,3676,3901.0,3901.0,False,3901.0
