id,energy_consumption,energy_effective,energy_waste
0,3595750.0,2162200.0,1433550.0
1,3595750.0,2162200.0,1433550.0
2,3595750.0,2162200.0,1433550.0
3,3595750.0,2162200.0,1433550.0
4,3595750.0,2162200.0,1433550.0
5,3595750.0,2142250.0,1453500.0
6,3595750.0,1970680.0,1625070.0
7,3595750.0,1661360.0,1934390.0
8,3595750.0,1291430.0,2304320.0
9,3300358.0,910670.0,2389688.0
10,3300358.0,808640.0,2491718.0
11,3108679.0,795720.0,2312959.0
12,3108679.0,779380.0,2329299.0
13,3108679.0,724090.0,2384589.0
14,3116100.0,691980.0,2424120.0
15,2679528.0,480890.0,2198638.0
16,1279312.0,240730.0,1038582.0
17,1279312.0,173850.0,1105462.0
18,1279312.0,152950.0,1126362.0
19,796947.0,116660.0,680287.0
20,796947.0,96140.0,700807.0
21,796947.0,96140.0,700807.0
22,806359.0,92150.0,714209.0
23,754955.0,75240.0,679715.0
24,754955.0,83790.0,671165.0
25,754955.0,59280.0,695675.0
26,543185.0,24130.0,519055.0
27,543185.0,24130.0,519055.0
28,543185.0,24130.0,519055.0
29,543185.0,24130.0,519055.0
30,543185.0,24130.0,519055.0
31,543185.0,24130.0,519055.0
