dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,60.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,0.0,94.0,8 9 10 11 12 13 14 15 16,-1.0,
base,active,,0.0,249.0,17,-1.0,
base,active,,0.0,300.0,18 19 20 21 22 23 24 25 26 27 28 29 30 31,-1.0,
base,active,60.0,60.0,166.0,0 1 2 3 4 5 6 7,1.0,False
base,active,94.0,94.0,250.0,8 9 10 11 12 13 14 15 16,2.0,False
base,active,,166.0,249.0,0 1 2 3 4 5 6 7,-1.0,
base,active,249.0,249.0,350.0,0 1 2 3 4 5 6 7 17,3.0,False
base,active,,250.0,269.0,8 9 10 11 12 13 14,-1.0,
base,active,,250.0,391.0,15,-1.0,
base,active,,250.0,550.0,16,-1.0,
base,active,269.0,269.0,391.0,8 9 10 11 12 13 14,4.0,False
base,switching_off,,300.0,420.0,18 19 20 21 22 23 24 25 26 27 28 29 30 31,-2.0,
base,active,313.0,350.0,450.0,0 1 2 3 4 5 6 7,5.0,False
base,active,,350.0,575.0,17,-1.0,
base,active,321.0,391.0,459.0,8 9 10 11 12 13 14 15,6.0,False
base,sleeping,,420.0,18653.0,18 19 20 21 22 23 24 25 26 27 28 29 30 31,-4.0,
base,active,350.0,450.0,589.0,0 1 2 3 4 5 6 7,7.0,False
base,active,,459.0,484.0,8 9 10 11 12 13 14 15,-1.0,
base,active,484.0,484.0,575.0,8 9 10 11 12 13 14 15,8.0,False
base,switching_off,,550.0,670.0,16,-2.0,
base,active,547.0,575.0,683.0,8 9 10 11 12 13 14 15 17,9.0,False
base,active,563.0,589.0,634.0,0 1 2 3 4 5 6,10.0,False
base,active,,589.0,683.0,7,-1.0,
base,active,,634.0,683.0,0 1 2 3 4 5 6,-1.0,
base,sleeping,,670.0,18653.0,16,-4.0,
base,active,656.0,683.0,769.0,9 10 11 12 13 14 15 17,12.0,False
base,active,602.0,683.0,812.0,0 1 2 3 4 5 6 7 8,11.0,False
base,active,,769.0,800.0,9 10 11 12 13 14 15,-1.0,
base,active,,769.0,971.0,17,-1.0,
base,active,780.0,800.0,914.0,9 10 11 12 13 14 15,14.0,False
base,active,748.0,812.0,905.0,0 1 2 3 4 5 6 7 8,13.0,False
base,active,,905.0,914.0,8,-1.0,
base,active,800.0,905.0,971.0,0 1 2 3 4 5 6 7,15.0,False
base,active,801.0,914.0,973.0,8 9 10 11 12 13 14 15,16.0,False
base,active,844.0,971.0,1080.0,0 1 2 3 4 5 6 7 17,17.0,False
base,active,,973.0,1080.0,8 9 10,-1.0,
base,active,,973.0,1188.0,11 12 13 14 15,-1.0,
base,active,894.0,1080.0,1188.0,0 1 2 3 4 5 6 7 8 9 10,18.0,False
base,active,,1080.0,1262.0,17,-1.0,
base,active,1044.0,1188.0,1262.0,0 1 2 3 4 5 6,19.0,False
base,active,1154.0,1188.0,1314.0,7 8 9 10 11 12 13 14 15,20.0,False
base,active,1220.0,1262.0,1349.0,0 1 2 3 4 5 6 17,21.0,False
base,active,1258.0,1314.0,1369.0,7 8 9 10 11 12 13 14 15,22.0,False
base,active,1283.0,1349.0,1411.0,0 1 2 3 4 5 6 17,23.0,False
base,active,,1369.0,1598.0,7 8,-1.0,
base,active,,1369.0,1669.0,9 10 11 12 13 14 15,-1.0,
base,active,,1411.0,1598.0,0 1 2 3 4 5 6,-1.0,
base,active,,1411.0,1711.0,17,-1.0,
base,active,1598.0,1598.0,1704.0,0 1 2 3 4 5 6 7 8,24.0,False
base,switching_off,,1669.0,1789.0,9 10 11 12 13 14 15,-2.0,
base,active,1647.0,1704.0,1765.0,0 1 2 3 4 5 6 7 8,25.0,False
base,switching_off,,1711.0,1831.0,17,-2.0,
base,active,,1765.0,1778.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,1765.0,1935.0,8,-1.0,
base,active,1778.0,1778.0,1935.0,0 1 2 3 4 5 6 7,26.0,False
base,sleeping,,1789.0,18653.0,9 10 11 12 13 14 15,-4.0,
base,sleeping,,1831.0,18653.0,17,-4.0,
base,active,1827.0,1935.0,2020.0,0 1 2 3 4 5 6 7 8,27.0,False
base,active,1900.0,2020.0,2150.0,0 1 2 3 4 5 6 7 8,28.0,False
base,active,1979.0,2150.0,2209.0,0 1 2 3 4 5,29.0,False
base,active,,2150.0,2209.0,6,-1.0,
base,active,,2150.0,2429.0,7,-1.0,
base,active,,2150.0,2450.0,8,-1.0,
base,active,2066.0,2209.0,2304.0,0 1 2 3 4 5 6,30.0,False
base,active,2100.0,2304.0,2429.0,0 1 2 3 4 5 6,31.0,False
base,active,2152.0,2429.0,2539.0,0 1 2 3 4 5 6 7,32.0,False
base,switching_off,,2450.0,2570.0,8,-2.0,
base,active,2173.0,2539.0,2610.0,0 1 2 3 4 5 6,33.0,False
base,active,,2539.0,2610.0,7,-1.0,
base,sleeping,,2570.0,18653.0,8,-4.0,
base,active,2185.0,2610.0,2699.0,0 1 2 3 4 5 6 7,34.0,False
base,active,2311.0,2699.0,2743.0,0 1 2 3 4 5 6 7,35.0,False
base,active,2422.0,2743.0,2799.0,0 1 2 3 4 5 6,36.0,False
base,active,,2743.0,2869.0,7,-1.0,
base,active,,2799.0,2869.0,0 1 2 3 4 5 6,-1.0,
base,active,2623.0,2869.0,2946.0,0 1 2 3 4 5 6 7,38.0,False
base,active,,2946.0,3026.0,0 1 2 3 4 5 6 7,-1.0,
base,active,2869.0,3026.0,3102.0,0 1 2 3 4 5 6 7,39.0,False
base,active,,3102.0,3176.0,0 1 2 3 4 5 6,-1.0,
base,active,,3102.0,3305.0,7,-1.0,
base,active,3026.0,3176.0,3230.0,0 1 2 3 4 5 6,40.0,False
base,active,,3230.0,3305.0,0 1 2 3 4 5 6,-1.0,
base,active,3176.0,3305.0,3346.0,0 1 2 3 4 5 6 7,41.0,False
base,active,,3346.0,3646.0,0 1 2 3 4 5 6 7,-1.0,
base,switching_off,,3646.0,3766.0,0 1 2 3 4 5 6 7,-2.0,
base,sleeping,,3766.0,18653.0,0 1 2 3 4 5 6 7,-4.0,
