timeout,mean_wait,p95_wait,total_wait,energy_waste
300,207.085,508.5999999999998,41417.0,22491602.0
600,129.205,470.19999999999993,25841.0,31230082.0
900,87.38,423.04999999999995,17476.0,36429884.0
1200,28.27,152.74999999999974,5654.0,42243442.0
1500,67.445,290.09999999999997,13489.0,35456647.0
1800,8.675,62.14999999999995,1735.0,52349705.0
2100,8.675,62.14999999999995,1735.0,53218505.0
2400,7.365,57.249999999999915,1473.0,55973506.0
2700,5.83,46.2999999999999,1166.0,57625674.0
3000,5.83,46.2999999999999,1166.0,58440174.0
3300,5.83,46.2999999999999,1166.0,59254674.0
3600,5.67,46.2999999999999,1134.0,60689642.0
