job_id,subtime,start_time,finish_time,waiting_time
1,60,60.0,166.0,0.0
2,94,94.0,250.0,0.0
3,249,249.0,350.0,0.0
4,269,269.0,391.0,0.0
5,313,350.0,450.0,37.0
6,321,391.0,459.0,70.0
8,484,484.0,575.0,0.0
7,350,450.0,589.0,100.0
10,563,589.0,634.0,26.0
9,547,575.0,683.0,28.0
12,656,683.0,769.0,27.0
11,602,683.0,812.0,81.0
13,748,812.0,905.0,64.0
14,780,800.0,914.0,20.0
15,800,905.0,971.0,105.0
16,801,914.0,973.0,113.0
17,844,971.0,1080.0,127.0
18,894,1080.0,1188.0,186.0
19,1044,1188.0,1262.0,144.0
20,1154,1188.0,1314.0,34.0
21,1220,1262.0,1349.0,42.0
22,1258,1314.0,1369.0,56.0
23,1283,1349.0,1411.0,66.0
24,1598,1598.0,1704.0,0.0
25,1647,1704.0,1765.0,57.0
26,1778,1778.0,1935.0,0.0
27,1827,1935.0,2020.0,108.0
28,1900,2020.0,2150.0,120.0
29,1979,2150.0,2209.0,171.0
30,2066,2209.0,2304.0,143.0
31,2100,2304.0,2429.0,204.0
32,2152,2429.0,2539.0,277.0
33,2173,2539.0,2610.0,366.0
34,2185,2610.0,2699.0,425.0
35,2311,2699.0,2743.0,388.0
36,2422,2743.0,2799.0,321.0
38,2623,2869.0,2946.0,246.0
39,2869,3026.0,3102.0,157.0
40,3026,3176.0,3230.0,150.0
41,3176,3305.0,3346.0,129.0
