id,energy_consumption,energy_effective,energy_waste
0,3565350.0,1854590.0,1710760.0
1,3565350.0,1854590.0,1710760.0
2,3565350.0,1854590.0,1710760.0
3,3565350.0,1854590.0,1710760.0
4,3565350.0,1854590.0,1710760.0
5,3565350.0,1846990.0,1718360.0
6,3565350.0,1672190.0,1893160.0
7,3565350.0,1471170.0,2094180.0
8,3565350.0,1208970.0,2356380.0
9,3565350.0,912190.0,2653160.0
10,3565350.0,890720.0,2674630.0
11,3565350.0,877800.0,2687550.0
12,3565350.0,861460.0,2703890.0
13,3565350.0,881030.0,2684320.0
14,3565350.0,812820.0,2752530.0
15,3565350.0,675070.0,2890280.0
16,3283714.0,463410.0,2820304.0
17,3283714.0,404890.0,2878824.0
18,2931488.0,324520.0,2606968.0
19,2319889.0,194560.0,2125329.0
20,2319889.0,174040.0,2145849.0
21,2280069.0,158270.0,2121799.0
22,2712297.0,216030.0,2496267.0
23,2712297.0,199690.0,2512607.0
24,2971851.0,232560.0,2739291.0
25,2796824.0,206910.0,2589914.0
26,2796824.0,171760.0,2625064.0
27,2751936.0,116280.0,2635656.0
28,2607317.0,64220.0,2543097.0
29,2181424.0,41040.0,2140384.0
30,1632270.0,24130.0,1608140.0
31,1632270.0,24130.0,1608140.0
