dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,60.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,0.0,94.0,8 9 10 11 12 13 14 15 16,-1.0,
base,active,,0.0,249.0,17,-1.0,
base,active,,0.0,300.0,18 19 20 21 22 23 24 25 26 27 28 29 30 31,-1.0,
base,active,60.0,60.0,166.0,0 1 2 3 4 5 6 7,1.0,False
base,active,94.0,94.0,250.0,8 9 10 11 12 13 14 15 16,2.0,False
base,active,,166.0,249.0,0 1 2 3 4 5 6 7,-1.0,
base,active,249.0,249.0,350.0,0 1 2 3 4 5 6 7 17,3.0,False
base,active,,250.0,269.0,8 9 10 11 12 13 14,-1.0,
base,active,,250.0,391.0,15,-1.0,
base,active,,250.0,547.0,16,-1.0,
base,active,269.0,269.0,391.0,8 9 10 11 12 13 14,4.0,False
base,switching_off,,300.0,420.0,18 19 20 21 22 23 24 25 26 27 28 29 30 31,-2.0,
base,active,313.0,350.0,450.0,0 1 2 3 4 5 6 7,5.0,False
base,active,,350.0,547.0,17,-1.0,
base,active,321.0,391.0,459.0,8 9 10 11 12 13 14 15,6.0,False
base,switching_on,,420.0,540.0,18 19 20 21 22 23 24 25 26 27 28 29,-3.0,
base,sleeping,,420.0,563.0,30 31,-4.0,
base,active,350.0,450.0,589.0,0 1 2 3 4 5 6 7,7.0,False
base,active,,459.0,484.0,8 9 10 11 12 13 14 15,-1.0,
base,active,484.0,484.0,575.0,8 9 10 11 12 13 14 15,8.0,False
base,active,,540.0,547.0,18 19 20 21 22 23 24,-1.0,
base,active,,540.0,801.0,25 26 27 28 29,-1.0,
base,active,547.0,547.0,655.0,16 17 18 19 20 21 22 23 24,9.0,False
base,switching_on,,563.0,683.0,30 31,-3.0,
base,active,,575.0,602.0,15,-1.0,
base,active,563.0,575.0,620.0,8 9 10 11 12 13 14,10.0,False
base,active,,589.0,602.0,0 1 2 3 4 5 6 7,-1.0,
base,active,602.0,602.0,731.0,0 1 2 3 4 5 6 7 15,11.0,False
base,active,,620.0,656.0,8 9 10 11 12 13 14,-1.0,
base,active,,655.0,656.0,16,-1.0,
base,active,,655.0,800.0,17 18 19 20 21 22 23,-1.0,
base,active,,655.0,801.0,24,-1.0,
base,active,656.0,656.0,742.0,8 9 10 11 12 13 14 16,12.0,False
base,active,,683.0,801.0,30 31,-1.0,
base,active,,731.0,748.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,731.0,780.0,15,-1.0,
base,active,,742.0,748.0,8,-1.0,
base,active,,742.0,780.0,9 10 11 12 13 14,-1.0,
base,active,,742.0,800.0,16,-1.0,
base,active,748.0,748.0,841.0,0 1 2 3 4 5 6 7 8,13.0,False
base,active,780.0,780.0,894.0,9 10 11 12 13 14 15,14.0,False
base,active,800.0,800.0,866.0,16 17 18 19 20 21 22 23,15.0,False
base,active,801.0,801.0,860.0,24 25 26 27 28 29 30 31,16.0,False
base,active,,841.0,844.0,0 1 2 3 4 5 6 7 8,-1.0,
base,active,844.0,844.0,953.0,0 1 2 3 4 5 6 7 8,17.0,False
base,active,,860.0,1160.0,24 25 26 27 28 29 30 31,-1.0,
base,active,,866.0,894.0,16 17 18 19,-1.0,
base,active,,866.0,1166.0,20 21 22 23,-1.0,
base,active,894.0,894.0,1002.0,9 10 11 12 13 14 15 16 17 18 19,18.0,False
base,active,,953.0,1044.0,0 1 2 3 4 5 6,-1.0,
base,active,,953.0,1154.0,7 8,-1.0,
base,active,,1002.0,1220.0,9 10 11 12 13 14 15 16,-1.0,
base,active,,1002.0,1302.0,17 18 19,-1.0,
base,active,1044.0,1044.0,1118.0,0 1 2 3 4 5 6,19.0,False
base,active,,1118.0,1154.0,0 1 2 3 4 5 6,-1.0,
base,active,1154.0,1154.0,1280.0,0 1 2 3 4 5 6 7 8,20.0,False
base,switching_off,,1160.0,1280.0,24 25 26 27 28 29 30 31,-2.0,
base,switching_off,,1166.0,1286.0,20 21 22 23,-2.0,
base,active,1220.0,1220.0,1307.0,9 10 11 12 13 14 15 16,21.0,False
base,sleeping,,1280.0,1283.0,24 25 26 27 28,-4.0,
base,sleeping,,1280.0,1286.0,29,-4.0,
base,active,1258.0,1280.0,1335.0,0 1 2 3 4 5 6 7 8,22.0,False
base,sleeping,,1280.0,3305.0,30 31,-4.0,
base,switching_on,,1283.0,1403.0,24 25 26 27 28,-3.0,
base,switching_on,,1286.0,1406.0,20 21 22 23 29,-3.0,
base,switching_off,,1302.0,1422.0,17 18 19,-2.0,
base,active,1283.0,1307.0,1369.0,9 10 11 12 13 14 15 16,23.0,False
base,active,,1335.0,1598.0,0 1 2 3 4 5 6 7 8,-1.0,
base,active,,1369.0,1647.0,9 10 11 12 13 14 15 16,-1.0,
base,active,,1403.0,1703.0,24 25 26 27 28,-1.0,
base,active,,1406.0,1647.0,20,-1.0,
base,active,,1406.0,1706.0,21 22 23 29,-1.0,
base,sleeping,,1422.0,1900.0,17 18 19,-4.0,
base,active,1598.0,1598.0,1704.0,0 1 2 3 4 5 6 7 8,24.0,False
base,active,1647.0,1647.0,1708.0,9 10 11 12 13 14 15 16 20,25.0,False
base,switching_off,,1703.0,1823.0,24 25 26 27 28,-2.0,
base,active,,1704.0,1778.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,1704.0,1827.0,8,-1.0,
base,switching_off,,1706.0,1826.0,21 22 23 29,-2.0,
base,active,,1708.0,1827.0,9 10 11 12 13 14 15 16,-1.0,
base,active,,1708.0,2008.0,20,-1.0,
base,active,1778.0,1778.0,1935.0,0 1 2 3 4 5 6 7,26.0,False
base,sleeping,,1823.0,1900.0,24 25,-4.0,
base,sleeping,,1823.0,2185.0,26 27 28,-4.0,
base,sleeping,,1826.0,1900.0,21 22 23,-4.0,
base,sleeping,,1826.0,2185.0,29,-4.0,
base,active,1827.0,1827.0,1912.0,8 9 10 11 12 13 14 15 16,27.0,False
base,switching_on,,1900.0,2020.0,17 18 19 21 22 23 24 25,-3.0,
base,active,1900.0,1912.0,2042.0,8 9 10 11 12 13 14 15 16,28.0,False
base,active,,1935.0,1979.0,0 1 2 3 4 5,-1.0,
base,active,,1935.0,2066.0,6,-1.0,
base,active,,1935.0,2100.0,7,-1.0,
base,active,1979.0,1979.0,2038.0,0 1 2 3 4 5,29.0,False
base,switching_off,,2008.0,2128.0,20,-2.0,
base,active,,2020.0,2152.0,17 18 19 21 22,-1.0,
base,active,,2020.0,2225.0,23,-1.0,
base,active,,2020.0,2320.0,24 25,-1.0,
base,active,,2038.0,2066.0,0 1 2 3 4 5,-1.0,
base,active,,2042.0,2100.0,8 9 10 11 12 13,-1.0,
base,active,,2042.0,2152.0,14 15 16,-1.0,
base,active,2066.0,2066.0,2161.0,0 1 2 3 4 5 6,30.0,False
base,active,2100.0,2100.0,2225.0,7 8 9 10 11 12 13,31.0,False
base,sleeping,,2128.0,2185.0,20,-4.0,
base,active,2152.0,2152.0,2262.0,14 15 16 17 18 19 21 22,32.0,False
base,active,,2161.0,2173.0,0 1 2 3 4 5 6,-1.0,
base,active,2173.0,2173.0,2244.0,0 1 2 3 4 5 6,33.0,False
base,switching_on,,2185.0,2305.0,20 26 27 28 29,-3.0,
base,active,2185.0,2225.0,2314.0,7 8 9 10 11 12 13 23,34.0,False
base,active,,2244.0,2311.0,0 1 2 3 4 5 6,-1.0,
base,active,,2262.0,2311.0,14,-1.0,
base,active,,2262.0,2562.0,15 16 17 18 19 21 22,-1.0,
base,active,,2305.0,2605.0,20 26 27 28 29,-1.0,
base,active,2311.0,2311.0,2355.0,0 1 2 3 4 5 6 14,35.0,False
base,active,,2314.0,2521.0,7 8,-1.0,
base,active,,2314.0,2614.0,9 10 11 12 13 23,-1.0,
base,switching_off,,2320.0,2440.0,24 25,-2.0,
base,active,,2355.0,2422.0,0 1 2 3 4 5 6,-1.0,
base,active,,2355.0,2655.0,14,-1.0,
base,active,2422.0,2422.0,2478.0,0 1 2 3 4 5 6,36.0,False
base,sleeping,,2440.0,3305.0,24 25,-4.0,
base,active,,2478.0,2521.0,0 1 2 3 4 5 6,-1.0,
base,active,2521.0,2521.0,2614.0,0 1 2 3 4 5 6 7 8,37.0,False
base,switching_off,,2562.0,2682.0,15 16 17 18 19 21 22,-2.0,
base,switching_off,,2605.0,2725.0,20 26 27 28 29,-2.0,
base,active,,2614.0,2623.0,0 1 2 3 4 5 6 7,-1.0,
base,switching_off,,2614.0,2734.0,9 10 11 12 13 23,-2.0,
base,active,,2614.0,2914.0,8,-1.0,
base,active,2623.0,2623.0,2700.0,0 1 2 3 4 5 6 7,38.0,False
base,switching_off,,2655.0,2775.0,14,-2.0,
base,sleeping,,2682.0,3305.0,15 16 17 18 19 21 22,-4.0,
base,active,,2700.0,2869.0,0 1 2 3 4 5 6 7,-1.0,
base,sleeping,,2725.0,3305.0,20 26 27 28 29,-4.0,
base,sleeping,,2734.0,3305.0,9 10 11 12 13 23,-4.0,
base,sleeping,,2775.0,3305.0,14,-4.0,
base,active,2869.0,2869.0,2945.0,0 1 2 3 4 5 6 7,39.0,False
base,switching_off,,2914.0,3034.0,8,-2.0,
base,active,,2945.0,3026.0,0 1 2 3 4 5 6,-1.0,
base,active,,2945.0,3176.0,7,-1.0,
base,active,3026.0,3026.0,3080.0,0 1 2 3 4 5 6,40.0,False
base,sleeping,,3034.0,3305.0,8,-4.0,
