id,state_history
0,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
1,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
2,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
3,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
4,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
5,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
6,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
7,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
8,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
9,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
10,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
11,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
12,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
13,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
14,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
15,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
16,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
17,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
18,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
19,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
20,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
21,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
22,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
23,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
