id,energy_consumption,energy_effective,energy_waste
0,3499466.0,1826090.0,1673376.0
1,3499466.0,1826090.0,1673376.0
2,3499466.0,1826090.0,1673376.0
3,3499466.0,1826090.0,1673376.0
4,3499466.0,1826090.0,1673376.0
5,3499466.0,1826090.0,1673376.0
6,3433039.0,1651670.0,1781369.0
7,2933660.0,1246780.0,1686880.0
8,2900718.0,1062860.0,1837858.0
9,2755556.0,865260.0,1890296.0
10,2818182.0,896990.0,1921192.0
11,2806236.0,855950.0,1950286.0
12,2772932.0,839610.0,1933322.0
13,2659626.0,851200.0,1808426.0
14,2615100.0,795340.0,1819760.0
15,2518446.0,731880.0,1786566.0
16,2600801.0,661960.0,1938841.0
17,2292377.0,454100.0,1838277.0
18,2163505.0,364040.0,1799465.0
19,2109567.0,351500.0,1758067.0
20,2171831.0,321670.0,1850161.0
21,2081150.0,292220.0,1788930.0
22,2081150.0,299060.0,1782090.0
23,1950106.0,254980.0,1695126.0
24,1881869.0,193800.0,1688069.0
25,1916259.0,124830.0,1791429.0
26,1811279.0,94430.0,1716849.0
27,1772364.0,82460.0,1689904.0
28,1696344.0,69730.0,1626614.0
29,1666117.0,35340.0,1630777.0
30,1258143.0,22800.0,1235343.0
31,1182123.0,22800.0,1159323.0
